ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc,Batch information (Contact solution),SL min (g/L),SL max (g/L),Cin min (ppb),Cin max (ppb),Kd (L/Kg),Koc (L/Kg OC),log Koc ([-]),log Kd ([-]),Comments on the derivation of Kd (from literature studies),KFr (reported),KFr (reported units),1/n ([-]),Harmonized KFr ((ug/kg)/(ug/L)^(1/n)),Cw (ug/L),Cs (ug/kg),Kd (L/kg),,
387,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,BRA,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999874107617315,0,1.2589238269029671E-6,1,0,-0.99999874107617315,412.97360125892379,96485,-233.63449440498505,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.7,1:25 deionized water,10.64,190.52735249350883,1.0640000000000001,0.16700000000000001,6.1897702001482582,1.67E-2,Asc / OA,140,BaCl2-TEA (pH 8.2),20.7,78,1.3,Pipette,100,39,0.39,"0,01 M CaCl2 + 0,1 % NaN3",100,-,150,-,26.77,68.641025641025635,1.8365837641604335,1.4276483711869326,Reported Kd originated from a single spiked concentration,,,,,,,,,
388,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,KOM,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999874107617315,0,1.2589238269029671E-6,1,0,-0.99999874107617315,412.97360125892379,96485,-233.63449440498505,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.7,1:25 deionized water,19.667999999999999,352.18909481600861,1.9667999999999999,0.48099999999999998,17.828020756115642,4.8099999999999997E-2,Asc / OA,114,BaCl2-TEA (pH 8.2),20,78.900000000000006,1.1000000000000001,Pipette,100,41,0.41,"0,01 M CaCl2 + 0,1 % NaN3",100,-,150,-,36.590000000000003,89.24390243902441,1.9505785527668722,1.5633624094866074,Reported Kd originated from a single spiked concentration,,,,,,,,,
389,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,ASCO,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999748811352,0,2.5118864252000079E-9,1,0,-0.99999999748811352,412.97360000251183,96485,-233.63478865732284,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.4,1:25 deionized water,0.40699999999999997,7.2880293669979412,4.07E-2,0.504,18.680504077094145,5.04E-2,Asc / OA,42.8,BaCl2-TEA (pH 8.2),18.5,64.599999999999994,16.899999999999999,Pipette,100,0.2,2E-3,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,2.2000000000000002,1100,3.0413926851582249,0.34242268082220628,Reported Kd originated from a linear isotherm,,,,,,,,,
390,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,ALM,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999800474166611,0,1.9952583339051124E-6,1,0,-0.99999800474166611,412.97360199525832,96485,-233.63432195505678,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.5,1:25 deionized water,1.0129999999999999,18.13949324021846,0.10129999999999999,0.40400000000000003,14.974054855448481,4.0400000000000005E-2,Asc / OA,23.4,BaCl2-TEA (pH 8.2),54.4,35,10.6,Pipette,100,1.6,1.6E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,2.6,162.5,2.2108533653148932,0.41497334797081797,Reported Kd originated from a linear isotherm,,,,,,,,,
391,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,GOLOSO,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.9999992056723962,0,7.9432760376743655E-7,1,0,-0.9999992056723962,412.97360079432758,96485,-233.63460321366483,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.9,1:25 deionized water,0.13800000000000001,2.4711254364759605,1.3800000000000002E-2,0.32500000000000001,12.045959970348406,3.2500000000000001E-2,Asc / OA,72.400000000000006,BaCl2-TEA (pH 8.2),73.400000000000006,16.8,9.8000000000000007,Pipette,100,3.9,3.9E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,2.7,69.230769230769241,1.8402991571324883,0.43136376415898736,Reported Kd originated from a linear isotherm,,,,,,,,,
392,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,DELTA2,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999369042658,0,6.3095734049912165E-9,1,0,-0.99999999369042658,412.97360000630954,96485,-233.63478776790257,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8,1:25 deionized water,2.9660000000000002,53.111290178171728,0.29660000000000003,0.23,8.5248332097850259,2.3E-2,Asc / OA,89.3,BaCl2-TEA (pH 8.2),12.2,54.3,33.5,Pipette,100,7.7,7.6999999999999999E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,3.9,50.649350649350652,1.7045738818540173,0.59106460702649921,Reported Kd originated from a linear isotherm,,,,,,,,,
393,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,OVI01,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999601894414336,0,3.981055856666137E-6,1,0,-0.99999601894414336,412.97360398105587,96485,-233.63385688023698,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.2,1:25 deionized water,4.5149999999999997,80.848777867311313,0.45149999999999996,0.377,13.973313565604151,3.7699999999999997E-2,Asc / OA,46.3,BaCl2-TEA (pH 8.2),41.3,39.799999999999997,18.899999999999999,Pipette,100,9.4,9.4E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,7.1,75.531914893617014,1.8781304951193767,0.85125834871907524,Reported Kd originated from a linear isotherm,,,,,,,,,
394,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,DUBLIN,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999874107617315,0,1.2589238269029671E-6,1,0,-0.99999874107617315,412.97360125892379,96485,-233.63449440498505,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.7,1:25 deionized water,10.64,190.52735249350883,1.0640000000000001,0.16700000000000001,6.1897702001482582,1.67E-2,Asc / OA,130,BaCl2-TEA (pH 8.2),20.7,78,1.3,Pipette,100,39,0.39,"0,01 M CaCl2 + 0,1 % NaN3",100,-,1,300,38,97.435897435897431,1.988718989590311,1.5797835966168101,Reported Kd originated from a linear isotherm,,,,,,,,,
395,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID1,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999998221720621,0,1.7782793784161458E-8,1,0,-0.99999998221720621,412.97360001778276,96485,-233.63478508086828,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.55,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,2.52,BaCl2-TEA (pH 8.2),45.3,30,24.7,Pipette,100,3.4,3.4000000000000002E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,2.069868,2069.8679999999999,3.8386000000000005,112.9,2.0526939419249679,0.58417285896722304,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
396,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID2,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999610954859,0,3.8904514348071882E-9,1,0,-0.99999999610954859,412.97360000389045,96485,-233.6347883344622,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.2100000000000009,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,11.4,BaCl2-TEA (pH 8.2),28.7,40,31.3,Pipette,100,1.7,1.7000000000000001E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,2.069868,2069.8679999999999,2.9104000000000001,171.2,2.2335037603411343,0.46395268171940834,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
397,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID3,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999983017566363,0,1.698243364058638E-7,1,0,-0.99999983017566363,412.97360016982435,96485,-233.63474947265885,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.57,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.93,BaCl2-TEA (pH 8.2),20,50,30,Pipette,100,2.9,2.8999999999999998E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,2.069868,2069.8679999999999,8.3751999999999995,288.8,2.4605971888976015,0.92299518679655757,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
398,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID4,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99998004777494953,0,1.9952225050461341E-5,1,0,-0.99998004777494953,412.97361995222502,96485,-233.63011642421051,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,4.5,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,11.497016666666671,KNN input,51.2,36.200000000000003,12.6,Pipette,100,7.3,7.2999999999999995E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,2.069868,2069.8679999999999,20.213699999999996,276.89999999999998,2.4423229557455746,1.3056458158660302,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
399,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID5,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.999995533184031,0,4.4668159689755961E-6,1,0,-0.999995533184031,412.97360446681597,96485,-233.63374311496497,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.15,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,0.57999999999999996,BaCl2-TEA (pH 8.2),59.2,32.200000000000003,8.6,Pipette,100,1.8,1.8000000000000002E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,2.069868,2069.8679999999999,0.48600000000000004,27,1.4313637641589874,-0.31336373073770657,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
400,XIao,2019,Environmental Science and Technology,10.1021/acs.est.9b05379,soil,BS,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999683772234,0,3.162277650168378E-9,1,0,-0.99999999683772234,412.97360000316223,96485,-233.63478850500087,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.3000000000000007,Figure S1,not reported,not reported,not reported,not reported,not reported,not reported,not reported,24.8,not reported,30.683900000000001,38.891100000000002,30.567799999999998,KNN input,100.14279999999999,0.1,1E-3,"2 mM NaHCO3 + 1 mM NaCl + 3,1 mM NaN3",0.2,15,-,-,8.9796337074491426,8979.6337074491421,3.9532586215138426,0.95325862151384266,Calculated in this study at Cw = 10% S,10,(umol/kg)/(umol/L)^N,1.05,7.3986309978893736,48.1,431.92038132830373,8.9796337074491426,,
401,XIao,2019,Environmental Science and Technology,10.1021/acs.est.9b05379,soil,NF,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999601892831,0,3.9810716896860486E-9,1,0,-0.99999999601892831,412.97360000398106,96485,-233.63478831323886,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.1999999999999993,Figure S1,not reported,not reported,not reported,not reported,not reported,not reported,not reported,41.3,not reported,33.491900000000001,33.659599999999998,31.685300000000002,KNN input,98.836799999999997,0.1,1E-3,"2 mM NaHCO3 + 1 mM NaCl + 3,1 mM NaN3",0.2,15,-,-,15.511425964038613,15511.425964038614,4.1906517243027688,1.1906517243027688,Calculated in this study at Cw = 10% S,15.848931924611136,(umol/kg)/(umol/L)^N,1.01,14.92211125148676,48.1,746.09958887025732,15.511425964038613,,
402,XIao,2019,Environmental Science and Technology,10.1021/acs.est.9b05379,soil,SW,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999748811352,0,2.5118864252000079E-9,1,0,-0.99999999748811352,412.97360000251183,96485,-233.63478865732284,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.4,Figure S1,not reported,not reported,not reported,not reported,not reported,not reported,not reported,22.5,not reported,34.417400000000001,33.425600000000003,31.142800000000001,KNN input,98.985800000000012,0.9,9.0000000000000011E-3,"2 mM NaHCO3 + 1 mM NaCl + 3,1 mM NaN3",0.2,15,-,-,3.9810717055349731,442.34130061499695,2.6457574905606753,0.60000000000000009,Calculated in this study at Cw = 10% S,3.9810717055349727,(umol/kg)/(umol/L)^N,1,3.9810717055349731,48.1,191.48954903623221,3.9810717055349731,,
403,XIao,2019,Environmental Science and Technology,10.1021/acs.est.9b05379,soil,CE,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999601892831,0,3.9810716896860486E-9,1,0,-0.99999999601892831,412.97360000398106,96485,-233.63478831323886,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.1999999999999993,Figure S1,not reported,not reported,not reported,not reported,not reported,not reported,not reported,38.200000000000003,not reported,31.346399999999999,39.162100000000002,29.6173,KNN input,100.1258,1.2,1.2E-2,"2 mM NaHCO3 + 1 mM NaCl + 3,1 mM NaN3",0.2,15,-,-,10.828344646452289,902.36205387102405,2.9553808240717547,1.0345620701193796,Calculated in this study at Cw = 10% S,12.58925411794168,(umol/kg)/(umol/L)^N,1.07,8.256802846668835,48.1,520.84337749435508,10.828344646452289,,
404,XIao,2019,Environmental Science and Technology,10.1021/acs.est.9b05379,soil,UND,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999601892831,0,3.9810716896860486E-9,1,0,-0.99999999601892831,412.97360000398106,96485,-233.63478831323886,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,8.1999999999999993,Figure S1,not reported,not reported,not reported,not reported,not reported,not reported,not reported,41,not reported,34.556900000000013,33.706099999999999,30.8308,KNN input,99.093800000000002,5.3,5.2999999999999999E-2,"2 mM NaHCO3 + 1 mM NaCl + 3,1 mM NaN3",0.2,15,-,-,5.2323471624199085,98.723531366413368,1.994420681793674,0.7186965513944632,Calculated in this study at Cw = 10% S,5.0118723362727229,(umol/kg)/(umol/L)^N,0.98,5.6537871303303477,48.1,251.67589851239762,5.2323471624199085,,
405,Huiting Chen,2016,Chemosphere, 10.1016/j.chemosphere.2015.10.055,sediment,fresh sediment,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999998415106828,0,1.5848931673422493E-8,1,0,-0.99999998415106828,412.97360001584889,96485,-233.63478553377979,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.6,not reported,2.8492E-2,0.51019786910197873,2.8492000000000001E-3,1.2054E-2,0.4467753891771683,1.2054000000000001E-3,not reported,15.90036666666667,KNN input,4,61,35,not reported,100,2.52,2.52E-2,1 mM NaHCO3 + 1 mM NaCl,125,-,0.5,100,2.8183829312644542,111.84059251049422,2.048599459218456,0.45000000000000007,Reported Kd at Cw = 2.5 ppb,,,,,,,,,
406,McLachlan,2019,Chemosphere, 10.1016/j.chemosphere.2019.02.012,soil,Lower Layer,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.9999964518786969,0,3.5481213031263005E-6,1,0,-0.9999964518786969,412.97360354812128,96485,-233.6339582737358,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.25,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,5.7023166666666656,KNN input,100,0,0,not reported,100,0.4,4.0000000000000001E-3,deionized water,200,-,1,1000,0.22,55,1.7403626894942439,-0.65757731917779372,Mean Kd value at the certain condition reported in Table S9,,,,,,,,,
407,McLachlan,2019,Chemosphere, 10.1016/j.chemosphere.2019.02.012,soil,Upper layer,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999865103893715,0,1.3489610628932487E-6,1,0,-0.99999865103893715,412.97360134896104,96485,-233.63447331821709,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.67,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.2037666666666649,KNN input,71,24,5,not reported,100,0.93,9.300000000000001E-3,deionized water,200,-,1,1000,0.92,98.924731182795696,1.9953048787916201,-3.6212172654444715E-2,Mean Kd value at the certain condition reported in Table S9,,,,,,,,,
408,Aly,2019,Env Sci WR&T,10.1039/c9ew00426b,soil,-,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999993690426958,0,6.3095730466947729E-8,1,0,-0.99999993690426958,412.97360006309572,96485,-233.63477446855464,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,26.903333333333332,not reported,31.549399999999999,38.265099999999997,30.404799999999991,KNN input,100.21929999999999,1.4433333333333334,1.4433333333333333E-2,"0,01 M NaHCO3",500,-,10,100,1.62,112.24018475750579,2.0501483729089278,0.20951501454263097,Reported Kd originated from a linear isotherm,,,,,,,,,
409,Gredelj,2020,Science of the Total Environment, 10.1016/j.scitotenv.2019.134766,soil,Agripolis soil,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999999000000006,0,9.9999999000000002E-9,1,0,-0.99999999000000006,412.97360000999993,96485,-233.63478690360273,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.8,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,11.17476666666666,KNN input,47,38,15,not reported,100,1.43,1.43E-2,"0,01 M CaCl2 + 1 g/L NaN3",200,-,10,100,1.1599999999999999,81.118881118881106,1.9091219517618565,6.445798922691845E-2,Reported Kd originated from a linear isotherm,,,,,,,,,
410,Yue Zhi,2018,Chemical Engeneering Journal, 10.1016/j.cej.2018.04.042,soil,Peat,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999785612693026,0,2.1438730697719104E-6,1,0,-0.99999785612693026,412.97360214387305,96485,-233.63428714940764,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,5.4687999999999999,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,21.5806,KNN input,41.737499999999997,35.036999999999999,21.887,KNN input,98.66149999999999,46.9,0.46899999999999997,5 mM CaCl2 + 0.2 g/L NaN3,0.19999999999999998,-,2,3500,70.794578438413865,150.94792844011485,2.1788271572849172,1.8500000000000005,Reported Kd at Cw = 0.5 ppb,,,,,,,,,
411,Lei Xiang,2018,J. Agricultural Food Chemistry,10.1021/acs.jafc.8b03492,soil,paddy soil,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999976011676561,0,2.3988323435796854E-7,1,0,-0.99999976011676561,412.97360023988318,96485,-233.63473306482808,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.42,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,99,not reported,61.5,28.1,8.6,not reported,98.199999999999989,1.38,1.38E-2,"0,01 M KCl + 0,3 % NaN3",50,-,10,1000,8,579.71014492753625,2.7632109005907073,0.90308998699194354,Reported Kd originated from a linear isotherm,,,,,,,,,
412,Lutz Ahrens,2011,Chemosphere,10.1016/j.chemosphere.2011.06.046,sediment,Sediment 1,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999986240585936,0,1.3759414067418832E-7,1,0,-0.99999986240585936,412.97360013759413,96485,-233.63475702098768,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.6614000000000004,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,5.6683166666666667,KNN input,100,0,0,assumed,100,0.03,2.9999999999999997E-4,Millipore Water,20,-,1.4,143,5.73,19100.000000000004,4.2810333672477272,0.75815462196739003,Reported Kd stated in the main text,,,,,,,,,
413,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,CME,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999997488113634,0,2.5118863684138424E-8,1,0,-0.99999997488113634,412.97360002511886,96485,-233.63478336275685,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.4,not reported,3.3,59.092130002686005,0.32999999999999996,not reported,not reported,not reported,DCB,11.74244166666667,KNN input,5.7,84.1,10.1,not reported,99.899999999999991,0.28000000000000003,2.8000000000000004E-3,10 mM NaCl,20,200,-,-,0.12,42.857142857142847,1.6320232147054055,-0.92081875395237522,Reported Kd originated from a linear isotherm,,,,,,,,,
414,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,CQ,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999997488113634,0,2.5118863684138424E-8,1,0,-0.99999997488113634,412.97360002511886,96485,-233.63478336275685,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.4,not reported,10.8,193.39242546333602,1.08,not reported,not reported,not reported,DCB,12.994766666666671,KNN input,14.9,58.5,26.6,not reported,100,0.65,6.5000000000000006E-3,10 mM NaCl,20,200,-,-,0.17,26.153846153846153,1.4175355647354184,-0.769551078621726,Reported Kd originated from a linear isotherm,,,,,,,,,
415,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,NJ,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999997488113634,0,2.5118863684138424E-8,1,0,-0.99999997488113634,412.97360002511886,96485,-233.63478336275685,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.4,not reported,16.100000000000001,288.29796758886209,1.61,not reported,not reported,not reported,DCB,11.134266666666671,KNN input,17.600000000000001,78.3,4.2,not reported,100.10000000000001,0.7,6.9999999999999993E-3,10 mM NaCl,20,200,-,-,0.13,18.571428571428573,1.26884531229258,-0.88605664769316317,Reported Kd originated from a linear isotherm,,,,,,,,,
416,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,CMW,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999996837722438,0,3.1622775601683729E-8,1,0,-0.99999996837722438,412.97360003162271,96485,-233.63478183953725,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.3,not reported,8.6,153.99767212821203,0.86,not reported,not reported,not reported,DCB,11.550541666666669,KNN input,13.6,79.2,7.2,not reported,100,0.75,7.4999999999999997E-3,10 mM NaCl,20,200,-,-,0.15,20,1.3010299956639813,-0.82390874094431876,Reported Kd originated from a linear isotherm,,,,,,,,,
417,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,ZG,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999996837722438,0,3.1622775601683729E-8,1,0,-0.99999996837722438,412.97360003162271,96485,-233.63478183953725,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.3,not reported,4.5999999999999996,82.370847882532004,0.45999999999999996,not reported,not reported,not reported,DCB,12.462391666666671,KNN input,10,71.7,18.399999999999999,not reported,100.1,0.94,9.3999999999999986E-3,10 mM NaCl,20,200,-,-,0.24,25.531914893617024,1.4070833881119074,-0.61978875828839397,Reported Kd originated from a linear isotherm,,,,,,,,,
418,ChengLiang Li,2012,Journal of Environmental Monitoring,10.1039/c2em30394a,sediment,WH,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999996837722438,0,3.1622775601683729E-8,1,0,-0.99999996837722438,412.97360003162271,96485,-233.63478183953725,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,7.3,not reported,11.4,204.13644910018803,1.1400000000000001,not reported,not reported,not reported,DCB,12.535391666666669,KNN input,4.0999999999999996,84.1,17.899999999999999,not reported,106.1,0.96,9.5999999999999992E-3,10 mM NaCl,20,200,-,-,0.19,19.791666666666668,1.2964823679132607,-0.72124639904717103,Reported Kd originated from a linear isotherm,,,,,,,,,
419,Oliver,2020,Environmental Pollution, 10.1016/j.envpol.2019.113726,soil,1,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999984151070587,0,1.5848929412725089E-7,1,0,-0.99999984151070587,412.97360015848926,96485,-233.63475212733178,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.6,1:5 Water,4.17,74.67096427612141,0.41699999999999998,2.58,95.626389918458116,0.25800000000000001,OA,10,not reported,43,12,45,not reported,100,1.8,1.8000000000000002E-2,"0,5 mM CaCl2",200,-,5 or 7.5,-,0.33,18.333333333333332,1.2632414347745813,-0.48148606012211248,Reported Kd originated from a single spiked concentration,,,,,,,,,
420,Oliver,2020,Environmental Pollution, 10.1016/j.envpol.2019.113726,soil,2,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999984151070587,0,1.5848929412725089E-7,1,0,-0.99999984151070587,412.97360015848926,96485,-233.63475212733178,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.6,1:5 Water,6.06,108.51463873220521,0.60599999999999998,3.75,138.99184581171238,0.375,OA,9.5399999999999991,not reported,36,23,41,not reported,100,2.1,2.1000000000000001E-2,"0,5 mM CaCl2",20,-,5 or 7.5,-,0.20699999999999999,9.8571428571428559,0.99375105072299841,-0.68402965454308229,Reported Kd originated from a single spiked concentration,,,,,,,,,
421,Oliver,2020,Environmental Pollution, 10.1016/j.envpol.2019.113726,soil,3,PFOA,PFCA,C8HF15O2,413.97359999999998,-0.2,-,0,0,0,0.99999968377233395,0,3.1622766601686895E-7,1,0,-0.99999968377233395,412.97360031622759,96485,-233.63471518492202,8,15,0.33684210526315789,68.844969824162703,7,2.6821450763738319,4.9000000000000004,6.3,1:5 Water,0.46600000000000003,8.3445250246217206,4.6600000000000003E-2,0.185,6.8569310600444773,1.8499999999999999E-2,OA,2.83,not reported,91,2,7,not reported,100,0.6,6.0000000000000001E-3,"0,5 mM CaCl2",20,-,5 or 7.5,-,4.88,813.33333333333326,2.910268571619067,0.68841982200271057,Reported Kd originated from a single spiked concentration,,,,,,,,,
