PFAS abbreviation,subfamily,Empirical formula,%F,CAS number,Smiles,C number,F number,H number,N number,S number,O number,Cl number,P number,Molecular weight,log Koc,S (ug/L),log S (ug/L),Cw at X% S,Cw (ug/L),log Kow,n CF2,pKa1,pKa2
PFOS,PFSA,C8HF17O3S,64.60808893273439,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,8,17,1,0,1,3,0,0,499.93739999999997,3.41,103.9,2.0166155475571776,10,10.39,5,8,0.1,-
PFNS,PFSA,C9HF19O3S,65.644217071787864,68259-12-1,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,9,19,1,0,1,3,0,0,549.93420000000003,3.78,13.3,1.1238516409670858,10,1.33,5.6,9,0.1,-
PFDS,PFSA,C10HF21O3S,66.507648379563662,335-77-3,C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,10,21,1,0,1,3,0,0,599.93099999999993,4.1500000000000004,1.68,0.22530928172586284,10,0.16800000000000001,6.4,10,0.1,-
PFEtCHxS,PFSA,C8HF15O3S,61.69624406254831,646-83-3,C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,8,15,1,0,1,3,0,0,461.94059999999996,3.37,210,2.3222192947339191,10,21,3.9,8,0.1,-
8:2 Cl-PFAES,PFAES,C8HClF16O4S,57.153310182482628,756426-58-1,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,8,16,1,0,1,4,1,0,531.90269999999998,3.73,14.67,1.1664301138432827,10,1.4670000000000001,5.3,8,0.1,-
4:2 FTS,FTS,C6H5F9O3S,52.13710289668866,757124-72-4,C(CS(=O)(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,6,9,5,0,1,3,0,0,327.98139999999995,1.66,624400,5.7954628943903801,10,62440,2.6,4,0.4,-
6:2 FTS,FTS,C8H5F13O3S,57.713651498335182,27619-97-2,C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,8,13,5,0,1,3,0,0,427.97499999999997,2.4,10970,4.0402066275747108,10,1097,3.9,6,0.4,-
8:2 FTS,FTS,C10H5F17O3S,61.177880654266183,39108-34-4,C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,10,17,5,0,1,3,0,0,527.96860000000004,3.14,182,2.2600713879850747,10,18.2,5.3,8,0.4,-
FBSA,FOSA,C4H2F9NO2S,57.197101210772317,30334-69-1,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,4,9,2,1,1,2,0,0,298.96620000000001,2.82,26620,4.4252080511386565,10,2662,2.2000000000000002,4,6.2,-
FHxSA,FOSA,C6H2F13NO2S,61.910999554341061,41997-13-1,C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,6,13,2,1,1,2,0,0,398.95980000000003,3.55,478,2.6794278966121188,10,47.800000000000004,3.5,6,6.2,-
PFOSA,FOSA,C8H2F17NO2S,64.735504357721567,754-91-6,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,8,17,2,1,1,2,0,0,498.95340000000004,4.3,8.0399999999999991,0.90525604874845123,10,0.80399999999999994,4.8,8,6.2,-
EtFOSA,FOSA,C10H6F17NO2S,61.292113659488344,4151-50-2,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,10,17,6,1,1,2,0,0,526.9846,4.8,0.81,-9.1514981121350217E-2,10,8.1000000000000016E-2,5.6,8,9,-
N-MeFOSAA,FOSAA,C11H6F17NO4S,56.569961805643118,2355-31-9,CN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,11,17,6,1,1,4,0,0,570.97440000000006,3.44,7.8,0.89209460269048035,10,0.78,5,8,3.9,-
N-EtFOSAA,FOSAA,C12H8F17NO4S,55.214619053317151,2991-50-6,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,12,17,8,1,1,4,0,0,584.99,3.71,2.4,0.38021124171160603,10,0.24,5.4,8,3.9,-
PFHxPA,PFPA,C6H2F13O3P,61.757210154285524,40143-76-8,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,6,13,2,0,0,3,0,1,399.95329999999996,2.72,7449,3.8720979742742268,10,744.90000000000009,3,6,2.1,2.4
PFOPA,PFPA,C8H2F17O3P,64.606861248664615,40143-78-0,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,8,17,2,0,0,3,0,1,499.94689999999997,3.46,125,2.0969100130080562,10,12.5,4.3,8,2.4,4.5
PFDPA,PFPA,C10H2F21O3P,66.50659523736104,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,10,21,2,0,0,3,0,1,599.94049999999993,4.2,2.02,0.30535136944662378,10,0.20200000000000001,5.6,10,3.4,5.6
C6/6 PFPiA,PFPiA,C12F26HO2P,70.377408111181509,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,12,26,1,0,0,2,0,1,701.92979999999989,4.88,3.8589999999999999E-2,-1.4135252214286034,10,3.859E-3,8,12,0.9,-
C6/8 PFPiA,PFPiA,C14F30HO2P,71.079108054460079,158986-67-5,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F,14,30,1,0,0,2,0,1,801.9233999999999,5.62,5.9349999999999995E-4,-3.2265792767093902,10,5.9349999999999999E-5,9.4,14,0.9,-
C8/8 PFPiA,PFPiA,C16F34HO2P,71.625216067553893,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,16,34,1,0,0,2,0,1,901.91699999999992,6.36,8.9579999999999996E-6,-5.0477889418913309,10,8.9579999999999996E-7,10.7,16,0.9,-
